name,type,version,versionIndex,numOfClassesInPackage,linesOfCode,freqOfChanges,percCommitsClassChanged,changeHasOccurredMetric,percCommitsPackChanged,totalAmountOfChanges
org/apache/cassandra/hadoop/ColumnFamilyOutputFormat.java,class,unversioned,1,0,59,0,0,0,0,0
org/apache/cassandra/db/RangeSliceCommandSerializer.java,class,unversioned,1,0,33,0,0,0,0,0
org/apache/cassandra/db/commitlog/CommitLog.java,class,unversioned,1,0,20,0,0,0,0,0
org/apache/cassandra/db/ArrayBackedSortedColumns.java,class,unversioned,1,0,7,0,0,0,0,0
org/apache/cassandra/db/CounterUpdateColumn.java,class,unversioned,1,0,34,0,0,0,0,0
org/apache/cassandra/cql/RelationType.java,class,unversioned,1,0,23,0,0,0,0,0
org/apache/cassandra/db/compaction/CompactionManager.java,class,unversioned,1,0,26,0,0,0,0,0
org/apache/cassandra/hadoop/ColumnFamilyOutputFormat.java,class,unversioned,1,0,14,0,0,0,0,0
org/apache/cassandra/db/RangeSliceCommand.java,class,unversioned,1,0,36,0,0,0,0,0
org/apache/cassandra/db/compaction/ParallelCompactionIterable.java,class,unversioned,1,0,32,0,0,0,0,0
org/apache/cassandra/service/IWriteResponseHandler.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/cassandra/net/MessageDeliveryTask.java,class,unversioned,1,0,23,0,0,0,0,0
org/apache/cassandra/gms/IFailureDetectionEventListener.java,class,unversioned,1,0,2,0,0,0,0,0
org/apache/cassandra/thrift/ThriftValidation.java,class,unversioned,1,0,426,0,0,0,0,0
org/apache/cassandra/io/sstable/IndexSummary.java,class,unversioned,1,0,13,0,0,0,0,0
org/apache/cassandra/io/sstable/KeyIterator.java,class,unversioned,1,0,35,0,0,0,0,0
org/apache/cassandra/utils/AbstractStatsDeque.java,class,unversioned,1,0,30,0,0,0,0,0
org/apache/cassandra/db/ArrayBackedSortedColumns.java,class,unversioned,1,0,11,0,0,0,0,0
org/apache/cassandra/db/DataTracker.java,class,unversioned,1,0,8,0,0,0,0,0
org/apache/cassandra/db/compaction/CompactionManager.java,class,unversioned,1,0,9,0,0,0,0,0
org/apache/cassandra/hadoop/ColumnFamilyRecordReader.java,class,unversioned,1,0,112,0,0,0,0,0
org/apache/cassandra/gms/GossipDigest.java,class,unversioned,1,0,39,0,0,0,0,0
org/apache/cassandra/db/commitlog/CommitLog.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/cassandra/db/ArrayBackedSortedColumns.java,class,unversioned,1,0,10,0,0,0,0,0
org/apache/cassandra/cql/jdbc/JdbcDecimal.java,class,unversioned,1,0,48,0,0,0,0,0
org/apache/cassandra/gms/IFailureDetector.java,class,unversioned,1,0,8,0,0,0,0,0
org/apache/cassandra/tools/BulkLoader.java,class,unversioned,1,0,51,0,0,0,0,0
org/apache/cassandra/io/sstable/IndexSummary.java,class,unversioned,1,0,43,0,0,0,0,0
org/apache/cassandra/utils/obs/OpenBitSet.java,class,unversioned,1,0,372,0,0,0,0,0
org/apache/cassandra/cql/SelectStatement.java,class,unversioned,1,0,92,0,0,0,0,0
org/apache/cassandra/service/AntiEntropyService.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/cassandra/cql/jdbc/JdbcDouble.java,class,unversioned,1,0,43,0,0,0,0,0
org/apache/cassandra/net/MessagingService.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/cassandra/service/StorageProxyMBean.java,class,unversioned,1,0,26,0,0,0,0,0
org/apache/cassandra/service/AntiEntropyService.java,class,unversioned,1,0,223,0,0,0,0,0
org/apache/cassandra/streaming/StreamRequestMessage.java,class,unversioned,1,0,52,0,0,0,0,0
org/apache/cassandra/gms/GossipDigestAck2MessageSerializer.java,class,unversioned,1,0,11,0,0,0,0,0
org/apache/cassandra/db/commitlog/CommitLog.java,class,unversioned,1,0,6,0,0,0,0,0
org/apache/cassandra/db/ArrayBackedSortedColumns.java,class,unversioned,1,0,18,0,0,0,0,0
org/apache/cassandra/db/DataTracker.java,class,unversioned,1,0,65,0,0,0,0,0
org/apache/cassandra/db/compaction/CompactionManager.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/cassandra/hadoop/ColumnFamilyRecordReader.java,class,unversioned,1,0,245,0,0,0,0,0
org/apache/cassandra/gms/GossipDigestAck2Message.java,class,unversioned,1,0,15,0,0,0,0,0
org/apache/cassandra/cql/StatementType.java,class,unversioned,1,0,17,0,0,0,0,0
org/apache/cassandra/db/commitlog/CommitLog.java,class,unversioned,1,0,5,0,0,0,0,0
org/apache/cassandra/service/AntiEntropyService.java,class,unversioned,1,0,39,0,0,0,0,0
org/apache/cassandra/service/StorageServiceMBean.java,class,unversioned,1,0,65,0,0,0,0,0
org/apache/cassandra/locator/Ec2MultiRegionSnitch.java,class,unversioned,1,0,52,0,0,0,0,0
org/apache/cassandra/net/MessagingService.java,class,unversioned,1,0,25,0,0,0,0,0
org/apache/cassandra/cql/jdbc/JdbcFloat.java,class,unversioned,1,0,43,0,0,0,0,0
org/apache/cassandra/io/compress/ICompressor.java,class,unversioned,1,0,10,0,0,0,0,0
org/apache/cassandra/tools/BulkLoader.java,class,unversioned,1,0,56,0,0,0,0,0
